GO.ID	Term
GO:0003862	3-isopropylmalate dehydrogenase activity
GO:0003863	3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring) activity
GO:0003864	3-methyl-2-oxobutanoate hydroxymethyltransferase activity
GO:0003866	3-phosphoshikimate 1-carboxyvinyltransferase activity
GO:0003867	4-aminobutyrate transaminase activity
GO:0003871	5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase activity
GO:0003872	6-phosphofructokinase activity
GO:0003879	ATP phosphoribosyltransferase activity
GO:0003880	Protein C-terminal carboxyl O-methyltransferase activity
GO:0003882	CDP-diacylglycerol-serine O-phosphatidyltransferase activity
GO:0003883	CTP synthase activity
GO:0003886	DNA (cytosine-5-)-methyltransferase activity
GO:0003887	DNA-directed DNA polymerase activity
GO:0003896	DNA primase activity
GO:0003899	DNA-directed 5-3 RNA polymerase activity
GO:0003905	Alkylbase DNA N-glycosylase activity
GO:0003906	DNA-(apurinic or apyrimidinic site) endonuclease activity
GO:0003908	methylated-DNA-[protein]-cysteine S-methyltransferase activity
GO:0003909	DNA ligase activity
GO:0003910	DNA ligase (ATP) activity
GO:0003911	DNA ligase (NAD+) activity
GO:0003913	DNA photolyase activity
GO:0003916	DNA topoisomerase activity
GO:0003917	DNA topoisomerase type I (single strand cut, ATP-independent) activity
GO:0003918	DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity
GO:0003919	FMN adenylyltransferase activity
GO:0003920	GMP reductase activity
GO:0003921	GMP synthase activity
GO:0003922	GMP synthase (glutamine-hydrolyzing) activity
GO:0003924	GTPase activity
GO:0003933	GTP cyclohydrolase activity
GO:0003934	GTP cyclohydrolase I activity
GO:0003935	GTP cyclohydrolase II activity
GO:0003937	IMP cyclohydrolase activity
GO:0003938	IMP dehydrogenase activity
GO:0003939	L-iditol 2-dehydrogenase activity
GO:0003941	L-serine ammonia-lyase activity
GO:0003942	N-acetyl-gamma-glutamyl-phosphate reductase activity
GO:0003949	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase activity
GO:0003951	NAD+ kinase activity
GO:0003952	NAD+ synthase (glutamine-hydrolyzing) activity
GO:0003953	NAD+ nucleosidase activity
GO:0003954	NADH dehydrogenase activity
GO:0003955	NAD(P)H dehydrogenase (quinone) activity
GO:0003958	NADPH-hemoprotein reductase activity
GO:0003959	NADPH dehydrogenase activity
GO:0003962	Cystathionine gamma-synthase activity
GO:0003973	(S)-2-hydroxy-acid oxidase activity
GO:0003977	UDP-N-acetylglucosamine diphosphorylase activity
GO:0003978	UDP-glucose 4-epimerase activity
GO:0003979	UDP-glucose 6-dehydrogenase activity
GO:0003983	UTP:glucose-1-phosphate uridylyltransferase activity
GO:0003984	Acetolactate synthase activity
GO:0003985	acetyl-CoA C-acetyltransferase activity
GO:0003987	acetate-CoA ligase activity
GO:0003988	acetyl-CoA C-acyltransferase activity
GO:0003989	acetyl-CoA carboxylase activity
GO:0003991	Acetylglutamate kinase activity
GO:0003992	N2-acetyl-L-ornithine:2-oxoglutarate 5-aminotransferase activity
GO:0003994	Aconitate hydratase activity
GO:0003995	acyl-CoA dehydrogenase activity
GO:0003998	Acylphosphatase activity
GO:0003999	Adenine phosphoribosyltransferase activity
GO:0004000	Adenosine deaminase activity
GO:0004014	Adenosylmethionine decarboxylase activity
GO:0004015	adenosylmethionine-8-amino-7-oxononanoate transaminase activity
GO:0004016	Adenylate cyclase activity
GO:0004017	Adenylate kinase activity
GO:0004018	N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming) activity
GO:0004019	Adenylosuccinate synthase activity
GO:0004020	Adenylylsulfate kinase activity
GO:0004022	Alcohol dehydrogenase (NAD+) activity
GO:0004024	Alcohol dehydrogenase activity, zinc-dependent
GO:0004029	Aldehyde dehydrogenase (NAD+) activity
GO:0004030	Aldehyde dehydrogenase [NAD(P)+] activity
GO:0004033	Aldo-keto reductase (NADP) activity
GO:0004034	Aldose 1-epimerase activity
GO:0004035	Alkaline phosphatase activity
GO:0004038	Allantoinase activity
GO:0004040	Amidase activity
GO:0004042	acetyl-CoA:L-glutamate N-acetyltransferase activity
GO:0004044	Amidophosphoribosyltransferase activity
GO:0004045	aminoacyl-tRNA hydrolase activity
GO:0004047	Aminomethyltransferase activity
GO:0004048	Anthranilate phosphoribosyltransferase activity
GO:0004049	Anthranilate synthase activity
GO:0004053	Arginase activity
GO:0004055	Argininosuccinate synthase activity
GO:0004056	Argininosuccinate lyase activity
GO:0004060	Arylamine N-acetyltransferase activity
GO:0004066	Asparagine synthase (glutamine-hydrolyzing) activity
GO:0004067	Asparaginase activity
GO:0004068	Aspartate 1-decarboxylase activity
GO:0004069	L-aspartate:2-oxoglutarate aminotransferase activity
GO:0004070	Aspartate carbamoyltransferase activity
GO:0004072	Aspartate kinase activity
GO:0004073	Aspartate-semialdehyde dehydrogenase activity
GO:0004075	Biotin carboxylase activity
GO:0004076	Biotin synthase activity
GO:0004077	biotin-[acetyl-CoA-carboxylase] ligase activity
GO:0004081	bis(5-nucleosyl)-tetraphosphatase (asymmetrical) activity
GO:0004084	Branched-chain-amino-acid transaminase activity
GO:0004088	Carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity
GO:0004089	Carbonate dehydratase activity
GO:0004096	Catalase activity
GO:0004104	Cholinesterase activity
GO:0004106	Chorismate mutase activity
GO:0004107	Chorismate synthase activity
GO:0004108	Citrate (Si)-synthase activity
GO:0004109	Coproporphyrinogen oxidase activity
GO:0004111	Creatine kinase activity
GO:0004112	Cyclic-nucleotide phosphodiesterase activity
GO:0004113	2,3-cyclic-nucleotide 3-phosphodiesterase activity
GO:0004121	Cystathionine beta-lyase activity
GO:0004122	Cystathionine beta-synthase activity
GO:0004123	Cystathionine gamma-lyase activity
GO:0004124	Cysteine synthase activity
GO:0004126	Cytidine deaminase activity
GO:0004127	Cytidylate kinase activity
GO:0004129	Cytochrome-c oxidase activity
GO:0004136	Deoxyadenosine kinase activity
GO:0004137	Deoxycytidine kinase activity
GO:0004138	Deoxyguanosine kinase activity
GO:0004139	Deoxyribose-phosphate aldolase activity
GO:0004140	dephospho-CoA kinase activity
GO:0004141	Dethiobiotin synthase activity
GO:0004143	Diacylglycerol kinase activity
GO:0004145	Diamine N-acetyltransferase activity
GO:0004146	Dihydrofolate reductase activity
GO:0004148	Dihydrolipoyl dehydrogenase activity
GO:0004149	Dihydrolipoyllysine-residue succinyltransferase activity
GO:0004150	Dihydroneopterin aldolase activity
GO:0004151	Dihydroorotase activity
GO:0004152	Dihydroorotate dehydrogenase activity
GO:0004156	Dihydropteroate synthase activity
GO:0004160	Dihydroxy-acid dehydratase activity
GO:0004170	dUTP diphosphatase activity
GO:0004175	Endopeptidase activity
GO:0004176	ATP-dependent peptidase activity
GO:0004177	Aminopeptidase activity
GO:0004180	Carboxypeptidase activity
GO:0004181	Metallocarboxypeptidase activity
GO:0004185	Serine-type carboxypeptidase activity
GO:0004190	Aspartic-type endopeptidase activity
GO:0004222	Metalloendopeptidase activity
GO:0004252	Serine-type endopeptidase activity
GO:0004298	Threonine-type endopeptidase activity
GO:0004300	enoyl-CoA hydratase activity
GO:0004311	Farnesyltranstransferase activity
GO:0004312	Fatty acid synthase activity
GO:0004314	[Acyl-carrier-protein] S-malonyltransferase activity
GO:0004315	3-oxoacyl-[acyl-carrier-protein] synthase activity
GO:0004316	3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity
GO:0004317	3-hydroxypalmitoyl-[acyl-carrier-protein] dehydratase activity
GO:0004318	Enoyl-[acyl-carrier-protein] reductase (NADH) activity
GO:0004321	fatty-acyl-CoA synthase activity
GO:0004324	ferredoxin-NADP+ reductase activity
GO:0004325	Ferrochelatase activity
GO:0004326	Tetrahydrofolylpolyglutamate synthase activity
GO:0004332	Fructose-bisphosphate aldolase activity
GO:0004333	Fumarate hydratase activity
GO:0004335	Galactokinase activity
GO:0004337	Geranyltranstransferase activity
GO:0004340	Glucokinase activity
GO:0004341	Gluconolactonase activity
GO:0004342	glucosamine-6-phosphate deaminase activity
GO:0004343	Glucosamine 6-phosphate N-acetyltransferase activity
GO:0004344	Glucose dehydrogenase activity
GO:0004345	glucose-6-phosphate dehydrogenase activity
GO:0004347	glucose-6-phosphate isomerase activity
GO:0004348	Glucosylceramidase activity
GO:0004349	Glutamate 5-kinase activity
GO:0004350	glutamate-5-semialdehyde dehydrogenase activity
GO:0004352	Glutamate dehydrogenase (NAD+) activity
GO:0004353	Glutamate dehydrogenase [NAD(P)+] activity
GO:0004355	Glutamate synthase (NADPH) activity
GO:0004356	Glutamate-ammonia ligase activity
GO:0004358	Glutamate N-acetyltransferase activity
GO:0004359	Glutaminase activity
GO:0004360	glutamine-fructose-6-phosphate transaminase (isomerizing) activity
GO:0004365	glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity
GO:0004367	glycerol-3-phosphate dehydrogenase [NAD+] activity
GO:0004368	glycerol-3-phosphate dehydrogenase (quinone) activity
GO:0004370	Glycerol kinase activity
GO:0004371	Glycerone kinase activity
GO:0004372	Glycine hydroxymethyltransferase activity
GO:0004373	Glycogen (starch) synthase activity
GO:0004375	Glycine dehydrogenase (decarboxylating) activity
GO:0004385	Guanylate kinase activity
GO:0004386	Helicase activity
GO:0004392	Heme oxygenase (decyclizing) activity
GO:0004396	Hexokinase activity
GO:0004397	Histidine ammonia-lyase activity
GO:0004399	Histidinol dehydrogenase activity
GO:0004400	Histidinol-phosphate transaminase activity
GO:0004401	Histidinol-phosphatase activity
GO:0004407	Histone deacetylase activity
GO:0004412	Homoserine dehydrogenase activity
GO:0004413	Homoserine kinase activity
GO:0004414	Homoserine O-acetyltransferase activity
GO:0004417	Hydroxyethylthiazole kinase activity
GO:0004418	Hydroxymethylbilane synthase activity
GO:0004419	hydroxymethylglutaryl-CoA lyase activity
GO:0004421	hydroxymethylglutaryl-CoA synthase activity
GO:0004422	Hypoxanthine phosphoribosyltransferase activity
GO:0004424	Imidazoleglycerol-phosphate dehydratase activity
GO:0004427	Inorganic diphosphatase activity
GO:0004448	Isocitrate dehydrogenase [NAD(P)+] activity
GO:0004450	Isocitrate dehydrogenase (NADP+) activity
GO:0004452	Isopentenyl-diphosphate delta-isomerase activity
GO:0004455	Ketol-acid reductoisomerase activity
GO:0004457	Lactate dehydrogenase activity
GO:0004459	L-lactate dehydrogenase activity
GO:0004462	Lactoylglutathione lyase activity
GO:0004463	leukotriene-A4 hydrolase activity
GO:0004467	Long-chain fatty acid-CoA ligase activity
GO:0004470	Malic enzyme activity
GO:0004471	Malate dehydrogenase (decarboxylating) (NAD+) activity
GO:0004473	Malate dehydrogenase (decarboxylating) (NADP+) activity
GO:0004476	mannose-6-phosphate isomerase activity
GO:0004477	Methenyltetrahydrofolate cyclohydrolase activity
GO:0004478	Methionine adenosyltransferase activity
GO:0004479	methionyl-tRNA formyltransferase activity
GO:0004486	Methylenetetrahydrofolate dehydrogenase [NAD(P)+] activity
GO:0004488	Methylenetetrahydrofolate dehydrogenase (NADP+) activity
GO:0004489	Methylenetetrahydrofolate reductase (NAD(P)H) activity
GO:0004491	Methylmalonate-semialdehyde dehydrogenase (acylating) activity
GO:0004493	methylmalonyl-CoA epimerase activity
GO:0004497	Monooxygenase activity
GO:0004514	Nicotinate-nucleotide diphosphorylase (carboxylating) activity
GO:0004515	Nicotinate-nucleotide adenylyltransferase activity
GO:0004516	Nicotinate phosphoribosyltransferase activity
GO:0004517	Nitric-oxide synthase activity
GO:0004518	Nuclease activity
GO:0004519	Endonuclease activity
GO:0004520	Endodeoxyribonuclease activity
GO:0004521	Endoribonuclease activity
GO:0004523	RNA-DNA hybrid ribonuclease activity
GO:0004525	Ribonuclease III activity
GO:0004526	Ribonuclease P activity
GO:0004527	Exonuclease activity
GO:0004529	Exodeoxyribonuclease activity
GO:0004532	Exoribonuclease activity
GO:0004534	5-3 exoribonuclease activity
GO:0004536	Deoxyribonuclease activity
GO:0004540	Ribonuclease activity
GO:0004549	tRNA-specific ribonuclease activity
GO:0004550	Nucleoside diphosphate kinase activity
GO:0004551	Nucleotide diphosphatase activity
GO:0004553	Hydrolase activity, hydrolyzing O-glycosyl compounds
GO:0004556	Alpha-amylase activity
GO:0004557	Alpha-galactosidase activity
GO:0004563	beta-N-acetylhexosaminidase activity
GO:0004564	Beta-fructofuranosidase activity
GO:0004565	Beta-galactosidase activity
GO:0004567	Beta-mannosidase activity
GO:0004574	oligo-1,6-glucosidase activity
GO:0004575	Sucrose alpha-glucosidase activity
GO:0004585	Ornithine carbamoyltransferase activity
GO:0004587	Ornithine-oxo-acid transaminase activity
GO:0004588	Orotate phosphoribosyltransferase activity
GO:0004589	Orotate reductase (NADH) activity
GO:0004590	orotidine-5-phosphate decarboxylase activity
GO:0004591	Oxoglutarate dehydrogenase (succinyl-transferring) activity
GO:0004592	Pantoate-beta-alanine ligase activity
GO:0004594	Pantothenate kinase activity
GO:0004595	Pantetheine-phosphate adenylyltransferase activity
GO:0004596	Peptide alpha-N-acetyltransferase activity
GO:0004601	Peroxidase activity
GO:0004602	Glutathione peroxidase activity
GO:0004604	Phosphoadenylyl-sulfate reductase (thioredoxin) activity
GO:0004605	Phosphatidate cytidylyltransferase activity
GO:0004609	Phosphatidylserine decarboxylase activity
GO:0004611	Phosphoenolpyruvate carboxykinase activity
GO:0004612	Phosphoenolpyruvate carboxykinase (ATP) activity
GO:0004614	Phosphoglucomutase activity
GO:0004615	Phosphomannomutase activity
GO:0004616	Phosphogluconate dehydrogenase (decarboxylating) activity
GO:0004617	Phosphoglycerate dehydrogenase activity
GO:0004618	Phosphoglycerate kinase activity
GO:0004619	Phosphoglycerate mutase activity
GO:0004620	Phospholipase activity
GO:0004622	Lysophospholipase activity
GO:0004632	Phosphopantothenate--cysteine ligase activity
GO:0004633	Phosphopantothenoylcysteine decarboxylase activity
GO:0004634	Phosphopyruvate hydratase activity
GO:0004635	phosphoribosyl-AMP cyclohydrolase activity
GO:0004636	phosphoribosyl-ATP diphosphatase activity
GO:0004637	Phosphoribosylamine-glycine ligase activity
GO:0004638	Phosphoribosylaminoimidazole carboxylase activity
GO:0004639	Phosphoribosylaminoimidazolesuccinocarboxamide synthase activity
GO:0004640	Phosphoribosylanthranilate isomerase activity
GO:0004641	Phosphoribosylformylglycinamidine cyclo-ligase activity
GO:0004642	Phosphoribosylformylglycinamidine synthase activity
GO:0004643	Phosphoribosylaminoimidazolecarboxamide formyltransferase activity
GO:0004644	Phosphoribosylglycinamide formyltransferase activity
GO:0004645	1,4-alpha-oligoglucan phosphorylase activity
GO:0004648	O-phospho-L-serine:2-oxoglutarate aminotransferase activity
GO:0004652	Polynucleotide adenylyltransferase activity
GO:0004654	Polyribonucleotide nucleotidyltransferase activity
GO:0004655	Porphobilinogen synthase activity
GO:0004657	Proline dehydrogenase activity
GO:0004658	propionyl-CoA carboxylase activity
GO:0004659	Prenyltransferase activity
GO:0004664	Prephenate dehydratase activity
GO:0004665	Prephenate dehydrogenase (NADP+) activity
GO:0004671	Protein C-terminal S-isoprenylcysteine carboxyl O-methyltransferase activity
GO:0004672	Protein kinase activity
GO:0004673	Protein histidine kinase activity
GO:0004674	Protein serine/threonine kinase activity
GO:0004712	Protein serine/threonine/tyrosine kinase activity
GO:0004713	Protein tyrosine kinase activity
GO:0004715	Non-membrane spanning protein tyrosine kinase activity
GO:0004721	Phosphoprotein phosphatase activity
GO:0004722	Protein serine/threonine phosphatase activity
GO:0004725	Protein tyrosine phosphatase activity
GO:0004729	Oxygen-dependent protoporphyrinogen oxidase activity
GO:0004731	Purine-nucleoside phosphorylase activity
GO:0004735	pyrroline-5-carboxylate reductase activity
GO:0004736	Pyruvate carboxylase activity
GO:0004738	Pyruvate dehydrogenase activity
GO:0004739	Pyruvate dehydrogenase (acetyl-transferring) activity
GO:0004742	Dihydrolipoyllysine-residue acetyltransferase activity
GO:0004743	Pyruvate kinase activity
GO:0004746	Riboflavin synthase activity
GO:0004747	Ribokinase activity
GO:0004748	Ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor
GO:0004749	Ribose phosphate diphosphokinase activity
GO:0004750	D-ribulose-phosphate 3-epimerase activity
GO:0004751	ribose-5-phosphate isomerase activity
GO:0004757	Sepiapterin reductase activity
GO:0004760	Serine-pyruvate transaminase activity
GO:0004764	Shikimate 3-dehydrogenase (NADP+) activity
GO:0004765	Shikimate kinase activity
GO:0004766	Spermidine synthase activity
GO:0004774	succinate-CoA ligase activity
GO:0004775	succinate-CoA ligase (ADP-forming) activity
GO:0004776	succinate-CoA ligase (GDP-forming) activity
GO:0004779	Sulfate adenylyltransferase activity
GO:0004781	Sulfate adenylyltransferase (ATP) activity
GO:0004783	Sulfite reductase (NADPH) activity
GO:0004784	Superoxide dismutase activity
GO:0004788	Thiamine diphosphokinase activity
GO:0004789	Thiamine-phosphate diphosphorylase activity
GO:0004791	Thioredoxin-disulfide reductase activity
GO:0004794	L-threonine ammonia-lyase activity
GO:0004795	Threonine synthase activity
GO:0004797	Thymidine kinase activity
GO:0004798	Thymidylate kinase activity
GO:0004799	Thymidylate synthase activity
GO:0004801	Transaldolase activity
GO:0004802	Transketolase activity
GO:0004806	Triglyceride lipase activity
GO:0004807	Triose-phosphate isomerase activity
GO:0004810	tRNA adenylyltransferase activity
GO:0004812	aminoacyl-tRNA ligase activity
GO:0004813	alanine-tRNA ligase activity
GO:0004814	arginine-tRNA ligase activity
GO:0004815	aspartate-tRNA ligase activity
GO:0004816	asparagine-tRNA ligase activity
GO:0004817	cysteine-tRNA ligase activity
GO:0004818	glutamate-tRNA ligase activity
GO:0004820	glycine-tRNA ligase activity
GO:0004821	histidine-tRNA ligase activity
GO:0004822	isoleucine-tRNA ligase activity
GO:0004823	leucine-tRNA ligase activity
GO:0004824	lysine-tRNA ligase activity
GO:0004825	methionine-tRNA ligase activity
GO:0004826	phenylalanine-tRNA ligase activity
GO:0004827	proline-tRNA ligase activity
GO:0004828	serine-tRNA ligase activity
GO:0004829	threonine-tRNA ligase activity
GO:0004830	tryptophan-tRNA ligase activity
GO:0004831	tyrosine-tRNA ligase activity
GO:0004832	valine-tRNA ligase activity
GO:0004834	Tryptophan synthase activity
GO:0004844	Uracil DNA N-glycosylase activity
GO:0004845	Uracil phosphoribosyltransferase activity
GO:0004846	Urate oxidase activity
GO:0004849	Uridine kinase activity
GO:0004850	Uridine phosphorylase activity
GO:0004851	uroporphyrin-III C-methyltransferase activity
GO:0004852	uroporphyrinogen-III synthase activity
GO:0004853	Uroporphyrinogen decarboxylase activity
GO:0004854	Xanthine dehydrogenase activity
GO:0004856	Xylulokinase activity
GO:0004857	Enzyme inhibitor activity
GO:0004860	Protein kinase inhibitor activity
GO:0004866	Endopeptidase inhibitor activity
GO:0004867	Serine-type endopeptidase inhibitor activity
GO:0004888	Transmembrane signaling receptor activity
GO:0005047	Signal recognition particle binding
GO:0005048	Signal sequence binding
GO:0005102	Signaling receptor binding
GO:0005186	Pheromone activity
GO:0005198	Structural molecule activity
GO:0005215	Transporter activity
GO:0005216	Ion channel activity
GO:0005261	Cation channel activity
GO:0005267	Potassium channel activity
GO:0005275	Amine transmembrane transporter activity
GO:0005283	Amino acid:sodium symporter activity
GO:0005298	Proline:sodium symporter activity
GO:0005304	L-valine transmembrane transporter activity
GO:0005310	Dicarboxylic acid transmembrane transporter activity
GO:0005315	Inorganic phosphate transmembrane transporter activity
GO:0005319	Lipid transporter activity
GO:0005337	Nucleoside transmembrane transporter activity
GO:0005342	Organic acid transmembrane transporter activity
GO:0005343	Organic acid:sodium symporter activity
GO:0005344	Oxygen carrier activity
GO:0005345	Purine nucleobase transmembrane transporter activity
GO:0005351	Carbohydrate:proton symporter activity
GO:0005353	Fructose transmembrane transporter activity
GO:0005355	Glucose transmembrane transporter activity
GO:0005363	Maltose transmembrane transporter activity
GO:0005371	Tricarboxylate secondary active transmembrane transporter activity
GO:0005375	Copper ion transmembrane transporter activity
GO:0005381	Iron ion transmembrane transporter activity
GO:0005384	Manganese ion transmembrane transporter activity
GO:0005385	Zinc ion transmembrane transporter activity
GO:0005388	P-type calcium transporter activity
GO:0005402	Carbohydrate:cation symporter activity
GO:0005416	Amino acid:cation symporter activity
GO:0005436	Sodium:phosphate symporter activity
GO:0005451	Monovalent cation:proton antiporter activity
GO:0005488	Binding
GO:0005504	Fatty acid binding
GO:0005506	Iron ion binding
GO:0005507	Copper ion binding
GO:0005509	Calcium ion binding
GO:0005515	Protein binding
GO:0005524	ATP binding
GO:0005525	GTP binding
GO:0005539	Glycosaminoglycan binding
GO:0005576	Extracellular region
GO:0005615	Extracellular space
GO:0005618	Cell wall
GO:0005622	Intracellular anatomical structure
GO:0005657	Replication fork
GO:0005667	Transcription regulator complex
GO:0005694	Chromosome
GO:0005737	Cytoplasm
GO:0005777	Peroxisome
GO:0005811	Lipid droplet
GO:0005829	Cytosol
GO:0005839	Proteasome core complex
GO:0005840	Ribosome
GO:0005856	Cytoskeleton
GO:0005886	Plasma membrane
GO:0005887	Integral component of plasma membrane
