IDpg10	IDbsub	BiolProc	MolFun	CellComp
ANY33930.1	BSU00110	GO:0006081 GO:0006082 GO:0006520 GO:0006725 GO:0006766 GO:0006767 GO:0006793 GO:0006796 GO:0006807 GO:0008152 GO:0008614 GO:0008615 GO:0009058 GO:0009110 GO:0009987 GO:0018130 GO:0019438 GO:0019637 GO:0019752 GO:0034641 GO:0042364 GO:0042816 GO:0042819 GO:0042822 GO:0042823 GO:0043436 GO:0044237 GO:0044238 GO:0044249 GO:0044271 GO:0044281 GO:0044283 GO:0046184 GO:0046483 GO:0071704 GO:0072524 GO:0072525 GO:0090407 GO:1901360 GO:1901362 GO:1901564 GO:1901566 GO:1901576 GO:1901615 GO:1901617	GO:0003824 GO:0005488 GO:0005515 GO:0016829 GO:0016840 GO:0016843 GO:0036381 GO:0042802	
ANY33931.1	BSU00120	GO:0006081 GO:0006082 GO:0006520 GO:0006541 GO:0006543 GO:0006725 GO:0006766 GO:0006767 GO:0006793 GO:0006796 GO:0006807 GO:0008152 GO:0008614 GO:0009056 GO:0009058 GO:0009063 GO:0009064 GO:0009065 GO:0009110 GO:0009987 GO:0016054 GO:0018130 GO:0019438 GO:0019637 GO:0019752 GO:0034641 GO:0042364 GO:0042816 GO:0042819 GO:0042822 GO:0042823 GO:0043436 GO:0044237 GO:0044238 GO:0044248 GO:0044249 GO:0044271 GO:0044281 GO:0044282 GO:0044283 GO:0046184 GO:0046395 GO:0046483 GO:0071704 GO:0072524 GO:0072525 GO:0090407 GO:1901360 GO:1901362 GO:1901564 GO:1901565 GO:1901566 GO:1901575 GO:1901576 GO:1901605 GO:1901606 GO:1901615 GO:1901617	GO:0003824 GO:0004359 GO:0005488 GO:0005515 GO:0016787 GO:0016810 GO:0016811 GO:0016829 GO:0016840 GO:0016843 GO:0036381 GO:0042802	GO:0005622 GO:0005737 GO:0005829 GO:0032991 GO:0110165 GO:1902494 GO:1903600
ANY33932.1	BSU00130	GO:0006082 GO:0006139 GO:0006399 GO:0006412 GO:0006418 GO:0006434 GO:0006518 GO:0006520 GO:0006725 GO:0006807 GO:0008152 GO:0008652 GO:0009058 GO:0009059 GO:0009069 GO:0009070 GO:0009987 GO:0010467 GO:0016053 GO:0016070 GO:0016259 GO:0016260 GO:0018130 GO:0019438 GO:0019538 GO:0019752 GO:0032774 GO:0034641 GO:0034645 GO:0034654 GO:0034660 GO:0043038 GO:0043039 GO:0043043 GO:0043170 GO:0043436 GO:0043603 GO:0043604 GO:0044237 GO:0044238 GO:0044249 GO:0044260 GO:0044271 GO:0044281 GO:0044283 GO:0046394 GO:0046483 GO:0071704 GO:0090304 GO:0097056 GO:1901360 GO:1901362 GO:1901564 GO:1901566 GO:1901576 GO:1901605 GO:1901607	GO:0000166 GO:0003824 GO:0004812 GO:0004828 GO:0005488 GO:0005524 GO:0016874 GO:0016875 GO:0017076 GO:0030554 GO:0032553 GO:0032555 GO:0032559 GO:0035639 GO:0036094 GO:0043167 GO:0043168 GO:0097159 GO:0097367 GO:0140098 GO:0140101 GO:0140640 GO:1901265 GO:1901363	GO:0005622 GO:0005737 GO:0110165
ANY33933.1	BSU00140	GO:0006139 GO:0006163 GO:0006164 GO:0006170 GO:0006725 GO:0006753 GO:0006793 GO:0006796 GO:0006807 GO:0008152 GO:0009058 GO:0009117 GO:0009123 GO:0009124 GO:0009126 GO:0009127 GO:0009151 GO:0009153 GO:0009157 GO:0009162 GO:0009165 GO:0009170 GO:0009171 GO:0009262 GO:0009263 GO:0009265 GO:0009394 GO:0009987 GO:0016310 GO:0018130 GO:0019438 GO:0019637 GO:0019692 GO:0034641 GO:0034654 GO:0044237 GO:0044238 GO:0044249 GO:0044271 GO:0044281 GO:0046053 GO:0046385 GO:0046483 GO:0055086 GO:0071704 GO:0072521 GO:0072522 GO:0090407 GO:1901135 GO:1901137 GO:1901293 GO:1901360 GO:1901362 GO:1901564 GO:1901566 GO:1901576	GO:0000166 GO:0003824 GO:0004136 GO:0004137 GO:0005488 GO:0005524 GO:0016301 GO:0016740 GO:0016772 GO:0017076 GO:0019136 GO:0019205 GO:0019206 GO:0030554 GO:0032553 GO:0032555 GO:0032559 GO:0035639 GO:0036094 GO:0043167 GO:0043168 GO:0097159 GO:0097367 GO:1901265 GO:1901363	GO:0005622 GO:0005737 GO:0110165
ANY33934.1	BSU00150	GO:0006139 GO:0006725 GO:0006753 GO:0006793 GO:0006796 GO:0006807 GO:0008152 GO:0009058 GO:0009117 GO:0009123 GO:0009124 GO:0009157 GO:0009162 GO:0009165 GO:0009987 GO:0016310 GO:0018130 GO:0019438 GO:0019637 GO:0034641 GO:0034654 GO:0044237 GO:0044238 GO:0044249 GO:0044271 GO:0044281 GO:0046483 GO:0055086 GO:0071704 GO:0090407 GO:1901293 GO:1901360 GO:1901362 GO:1901576	GO:0000166 GO:0003824 GO:0004138 GO:0005488 GO:0005524 GO:0016301 GO:0016740 GO:0016772 GO:0017076 GO:0019136 GO:0019205 GO:0019206 GO:0030554 GO:0032553 GO:0032555 GO:0032559 GO:0035639 GO:0036094 GO:0043167 GO:0043168 GO:0097159 GO:0097367 GO:1901265 GO:1901363	GO:0005622 GO:0005737 GO:0110165
ANY33935.1	BSU00160	GO:0005975 GO:0008152 GO:0044238 GO:0071704	GO:0003824 GO:0005488 GO:0008061 GO:0016787 GO:0016798 GO:0097367	
ANY33936.1	BSU00170		GO:0003824 GO:0016787	
ANY33937.1	BSU00180	GO:0002097 GO:0002100 GO:0006139 GO:0006382 GO:0006396 GO:0006399 GO:0006400 GO:0006725 GO:0006807 GO:0008033 GO:0008152 GO:0009451 GO:0009987 GO:0010467 GO:0016070 GO:0016553 GO:0034470 GO:0034641 GO:0034660 GO:0043170 GO:0043412 GO:0044237 GO:0044238 GO:0046483 GO:0071704 GO:0090304 GO:1901360	GO:0003824 GO:0004000 GO:0005488 GO:0008251 GO:0008270 GO:0016787 GO:0016810 GO:0016814 GO:0019239 GO:0043167 GO:0043169 GO:0046872 GO:0046914 GO:0052717	
ANY33938.1	BSU00190	GO:0006139 GO:0006259 GO:0006260 GO:0006261 GO:0006725 GO:0006807 GO:0008152 GO:0009058 GO:0009059 GO:0009987 GO:0018130 GO:0019438 GO:0034641 GO:0034654 GO:0043170 GO:0044237 GO:0044238 GO:0044249 GO:0044260 GO:0044271 GO:0046483 GO:0071704 GO:0071897 GO:0090304 GO:1901360 GO:1901362 GO:1901576	GO:0000166 GO:0003676 GO:0003677 GO:0003824 GO:0003887 GO:0005488 GO:0005524 GO:0016740 GO:0016772 GO:0016779 GO:0017076 GO:0030554 GO:0032553 GO:0032555 GO:0032559 GO:0034061 GO:0035639 GO:0036094 GO:0043167 GO:0043168 GO:0097159 GO:0097367 GO:0140097 GO:0140640 GO:1901265 GO:1901363	GO:0009360 GO:0032991 GO:0042575 GO:0061695 GO:0140535 GO:1902494 GO:1990234
ANY33939.1	BSU00200		GO:0003676 GO:0003677 GO:0005488 GO:0097159 GO:1901363	GO:0005622 GO:0005737 GO:0005829 GO:0009295 GO:0043226 GO:0043228 GO:0043229 GO:0043232 GO:0043590 GO:0110165
ANY33940.1	BSU00210	GO:0006139 GO:0006259 GO:0006281 GO:0006310 GO:0006725 GO:0006807 GO:0006950 GO:0006974 GO:0008152 GO:0009987 GO:0033554 GO:0034641 GO:0043170 GO:0044237 GO:0044238 GO:0044260 GO:0046483 GO:0050896 GO:0051716 GO:0071704 GO:0090304 GO:1901360	GO:0003676 GO:0003677 GO:0005488 GO:0043167 GO:0043169 GO:0046872 GO:0097159 GO:1901363	
ANY33941.1	BSU00220			
ANY33942.1	BSU00230	GO:0009653 GO:0009987 GO:0030154 GO:0030435 GO:0032502 GO:0043934 GO:0048646 GO:0048856 GO:0048869	GO:0005488 GO:0043167 GO:0043169 GO:0046872	GO:0016020 GO:0016021 GO:0031224 GO:0110165
ANY33943.1	BSU00240	GO:0009653 GO:0009987 GO:0030154 GO:0030435 GO:0032502 GO:0043934 GO:0048646 GO:0048856 GO:0048869	GO:0005488 GO:0043167 GO:0043169 GO:0046872	
ANY33944.1	BSU00250		GO:0003824 GO:0016787	
ANY33945.1	BSU00260			
ANY33946.1	BSU00270		GO:0003824 GO:0016829 GO:0016830 GO:0016831	
ANY33947.1	BSU00280	GO:0006139 GO:0006220 GO:0006221 GO:0006227 GO:0006233 GO:0006235 GO:0006725 GO:0006753 GO:0006793 GO:0006796 GO:0006807 GO:0008152 GO:0009058 GO:0009117 GO:0009123 GO:0009132 GO:0009133 GO:0009138 GO:0009139 GO:0009141 GO:0009142 GO:0009147 GO:0009148 GO:0009165 GO:0009186 GO:0009189 GO:0009196 GO:0009197 GO:0009200 GO:0009202 GO:0009211 GO:0009212 GO:0009219 GO:0009221 GO:0009262 GO:0009263 GO:0009265 GO:0009394 GO:0009987 GO:0016310 GO:0018130 GO:0019438 GO:0019637 GO:0019692 GO:0034641 GO:0034654 GO:0044237 GO:0044238 GO:0044249 GO:0044271 GO:0044281 GO:0046072 GO:0046075 GO:0046077 GO:0046385 GO:0046483 GO:0046940 GO:0055086 GO:0071704 GO:0072527 GO:0072528 GO:0090407 GO:1901135 GO:1901137 GO:1901293 GO:1901360 GO:1901362 GO:1901564 GO:1901566 GO:1901576	GO:0000166 GO:0003824 GO:0004798 GO:0005488 GO:0005524 GO:0009041 GO:0016301 GO:0016740 GO:0016772 GO:0016776 GO:0017076 GO:0019205 GO:0030554 GO:0032553 GO:0032555 GO:0032559 GO:0035639 GO:0036094 GO:0043167 GO:0043168 GO:0050145 GO:0097159 GO:0097367 GO:1901265 GO:1901363	GO:0005622 GO:0005737 GO:0005829 GO:0110165
ANY33948.1	BSU00290			
ANY33949.1	BSU00300			
ANY33950.1	BSU00310	GO:0006139 GO:0006259 GO:0006260 GO:0006261 GO:0006725 GO:0006807 GO:0008152 GO:0009058 GO:0009059 GO:0009987 GO:0018130 GO:0019438 GO:0034641 GO:0034654 GO:0043170 GO:0044237 GO:0044238 GO:0044249 GO:0044260 GO:0044271 GO:0046483 GO:0071704 GO:0071897 GO:0090304 GO:0090305 GO:1901360 GO:1901362 GO:1901576	GO:0003676 GO:0003677 GO:0003824 GO:0003887 GO:0004518 GO:0004527 GO:0005488 GO:0008408 GO:0016740 GO:0016772 GO:0016779 GO:0016787 GO:0016788 GO:0034061 GO:0097159 GO:0140097 GO:0140640 GO:1901363	GO:0009360 GO:0032991 GO:0042575 GO:0061695 GO:0140535 GO:1902494 GO:1990234
ANY33951.1	BSU00320	GO:0009653 GO:0009987 GO:0030154 GO:0030435 GO:0032502 GO:0043934 GO:0048646 GO:0048856 GO:0048869		GO:0005622 GO:0005737 GO:0110165
ANY33952.1	BSU00330	GO:0006139 GO:0006259 GO:0006260 GO:0006725 GO:0006807 GO:0008152 GO:0009987 GO:0034641 GO:0043170 GO:0044237 GO:0044238 GO:0044260 GO:0046483 GO:0071704 GO:0090304 GO:1901360	GO:0005488 GO:0005515 GO:0042802	
ANY33953.1	BSU00340	GO:0006807 GO:0008152 GO:0071704	GO:0003824 GO:0008168 GO:0016740 GO:0016741	
ANY33954.1	BSU00350			
ANY33955.1	BSU00360	GO:0000154 GO:0000451 GO:0000453 GO:0001510 GO:0006139 GO:0006364 GO:0006396 GO:0006725 GO:0006807 GO:0008152 GO:0009451 GO:0009987 GO:0010467 GO:0016070 GO:0016072 GO:0022613 GO:0031167 GO:0032259 GO:0034470 GO:0034641 GO:0034660 GO:0042254 GO:0043170 GO:0043412 GO:0043414 GO:0044085 GO:0044237 GO:0044238 GO:0044260 GO:0046483 GO:0071704 GO:0071840 GO:0090304 GO:1901360	GO:0003824 GO:0008168 GO:0008171 GO:0008173 GO:0008649 GO:0008757 GO:0016434 GO:0016740 GO:0016741 GO:0062105 GO:0070677 GO:0140098 GO:0140102 GO:0140640	GO:0005622 GO:0005737 GO:0110165
ANY33956.1	BSU00370	GO:0006355 GO:0009653 GO:0009889 GO:0009890 GO:0009892 GO:0009987 GO:0010468 GO:0010556 GO:0010558 GO:0010605 GO:0019219 GO:0019222 GO:0030154 GO:0030435 GO:0031323 GO:0031324 GO:0031326 GO:0031327 GO:0032502 GO:0043934 GO:0043937 GO:0045892 GO:0045934 GO:0048519 GO:0048523 GO:0048646 GO:0048856 GO:0048869 GO:0050789 GO:0050793 GO:0050794 GO:0051171 GO:0051172 GO:0051252 GO:0051253 GO:0060255 GO:0065007 GO:0080090 GO:1902679 GO:1903506 GO:1903507 GO:2001141	GO:0003676 GO:0003677 GO:0005488 GO:0005515 GO:0042802 GO:0097159 GO:1901363	
ANY33957.1	BSU00380	GO:0006082 GO:0006139 GO:0006399 GO:0006412 GO:0006418 GO:0006431 GO:0006518 GO:0006520 GO:0006725 GO:0006807 GO:0008152 GO:0009058 GO:0009059 GO:0009987 GO:0010467 GO:0016070 GO:0019538 GO:0019752 GO:0034641 GO:0034645 GO:0034660 GO:0043038 GO:0043039 GO:0043043 GO:0043170 GO:0043436 GO:0043603 GO:0043604 GO:0044237 GO:0044238 GO:0044249 GO:0044260 GO:0044271 GO:0044281 GO:0046483 GO:0071704 GO:0090304 GO:1901360 GO:1901564 GO:1901566 GO:1901576	GO:0000049 GO:0000166 GO:0003676 GO:0003723 GO:0003824 GO:0004812 GO:0004825 GO:0005488 GO:0005524 GO:0016874 GO:0016875 GO:0017076 GO:0030554 GO:0032553 GO:0032555 GO:0032559 GO:0035639 GO:0036094 GO:0043167 GO:0043168 GO:0097159 GO:0097367 GO:0140098 GO:0140101 GO:0140640 GO:1901265 GO:1901363	GO:0005622 GO:0005737 GO:0110165
ANY33958.1	BSU00390	GO:0006139 GO:0006259 GO:0006725 GO:0006807 GO:0008152 GO:0009987 GO:0034641 GO:0043170 GO:0044237 GO:0044238 GO:0044260 GO:0046483 GO:0071704 GO:0090304 GO:0090305 GO:1901360	GO:0003824 GO:0004518 GO:0004536 GO:0005488 GO:0016787 GO:0016788 GO:0043167 GO:0043169 GO:0046872 GO:0140097 GO:0140640	GO:0005622 GO:0005737 GO:0005829 GO:0110165
ANY33959.1	BSU00400	GO:0000270 GO:0006022 GO:0006807 GO:0008152 GO:0009254 GO:0030203 GO:0043170 GO:0071704 GO:1901135 GO:1901564	GO:0003824 GO:0004553 GO:0016787 GO:0016798	GO:0016020 GO:0019867 GO:0110165
ANY33960.1	BSU00410	GO:0006139 GO:0006364 GO:0006396 GO:0006725 GO:0006807 GO:0008152 GO:0009987 GO:0010467 GO:0016070 GO:0016072 GO:0022613 GO:0034470 GO:0034641 GO:0034660 GO:0042254 GO:0043170 GO:0044085 GO:0044237 GO:0044238 GO:0046483 GO:0071704 GO:0071840 GO:0090304 GO:0090305 GO:0090501 GO:0090502 GO:1901360	GO:0003676 GO:0003723 GO:0003824 GO:0004518 GO:0004519 GO:0004521 GO:0004540 GO:0005488 GO:0016787 GO:0016788 GO:0016891 GO:0016893 GO:0019843 GO:0043167 GO:0043169 GO:0043822 GO:0046872 GO:0097159 GO:0140098 GO:0140640 GO:1901363	GO:0005622 GO:0005737 GO:0110165
ANY33961.1	BSU00420	GO:0000154 GO:0001510 GO:0006139 GO:0006364 GO:0006396 GO:0006725 GO:0006807 GO:0008152 GO:0009451 GO:0009987 GO:0010467 GO:0016070 GO:0016072 GO:0022613 GO:0031167 GO:0032259 GO:0034470 GO:0034641 GO:0034660 GO:0042254 GO:0043170 GO:0043412 GO:0043414 GO:0044085 GO:0044237 GO:0044238 GO:0044260 GO:0046483 GO:0071704 GO:0071840 GO:0090304 GO:1901360	GO:0000179 GO:0003676 GO:0003723 GO:0003824 GO:0005488 GO:0008168 GO:0008170 GO:0008173 GO:0008649 GO:0008757 GO:0016433 GO:0016740 GO:0016741 GO:0052908 GO:0097159 GO:0140098 GO:0140102 GO:0140640 GO:1901363	GO:0005622 GO:0005737 GO:0005829 GO:0110165
ANY33962.1	BSU00430	GO:0009653 GO:0009987 GO:0030154 GO:0030435 GO:0032502 GO:0043934 GO:0048646 GO:0048856 GO:0048869	GO:0003824 GO:0016787	GO:0005618 GO:0016020 GO:0030312 GO:0031160 GO:0043591 GO:0043593 GO:0071944 GO:0110165
ANY33963.1	BSU00440	GO:0006355 GO:0009653 GO:0009889 GO:0009987 GO:0010468 GO:0010556 GO:0019219 GO:0019222 GO:0030154 GO:0030435 GO:0031323 GO:0031326 GO:0032502 GO:0043934 GO:0048646 GO:0048856 GO:0048869 GO:0050789 GO:0050794 GO:0051171 GO:0051252 GO:0060255 GO:0065007 GO:0080090 GO:1903506 GO:2001141		GO:0005622 GO:0005737 GO:0110165
ANY33964.1	BSU00450	GO:0006139 GO:0006259 GO:0006265 GO:0006725 GO:0006807 GO:0006996 GO:0008152 GO:0009653 GO:0009987 GO:0016043 GO:0030154 GO:0030435 GO:0032502 GO:0034641 GO:0043170 GO:0043934 GO:0044237 GO:0044238 GO:0044260 GO:0046483 GO:0048646 GO:0048856 GO:0048869 GO:0051276 GO:0071103 GO:0071704 GO:0071840 GO:0090304 GO:1901360	GO:0003676 GO:0003677 GO:0003690 GO:0005488 GO:0097159 GO:1901363	
ANY33965.1	BSU00460	GO:0006081 GO:0006082 GO:0006090 GO:0006629 GO:0006644 GO:0006720 GO:0006721 GO:0006793 GO:0006796 GO:0008152 GO:0008299 GO:0008610 GO:0008654 GO:0009058 GO:0009240 GO:0009987 GO:0016114 GO:0016310 GO:0019288 GO:0019637 GO:0019682 GO:0019752 GO:0032787 GO:0043436 GO:0044237 GO:0044238 GO:0044249 GO:0044255 GO:0044281 GO:0046490 GO:0071704 GO:0090407 GO:1901135 GO:1901576	GO:0000166 GO:0003824 GO:0005488 GO:0005524 GO:0016301 GO:0016740 GO:0016772 GO:0016773 GO:0017076 GO:0030554 GO:0032553 GO:0032555 GO:0032559 GO:0035639 GO:0036094 GO:0043167 GO:0043168 GO:0050515 GO:0097159 GO:0097367 GO:1901265 GO:1901363	
ANY33966.1	BSU00470	GO:0006141 GO:0006355 GO:0009889 GO:0009890 GO:0009892 GO:0010468 GO:0010556 GO:0010558 GO:0010605 GO:0019219 GO:0019222 GO:0031323 GO:0031324 GO:0031326 GO:0031327 GO:0045892 GO:0045934 GO:0045982 GO:0048519 GO:0048523 GO:0050789 GO:0050794 GO:0051171 GO:0051172 GO:0051252 GO:0051253 GO:0060255 GO:0062012 GO:0062014 GO:0065007 GO:0080090 GO:1902679 GO:1903506 GO:1903507 GO:2001141	GO:0003676 GO:0003677 GO:0005488 GO:0097159 GO:1901363	
ANY33967.1	BSU00480	GO:0006082 GO:0006520 GO:0006549 GO:0006629 GO:0006631 GO:0006633 GO:0006807 GO:0008152 GO:0008610 GO:0008652 GO:0009056 GO:0009058 GO:0009081 GO:0009082 GO:0009097 GO:0009636 GO:0009987 GO:0016053 GO:0019752 GO:0032787 GO:0042221 GO:0043436 GO:0044237 GO:0044238 GO:0044249 GO:0044255 GO:0044281 GO:0044283 GO:0046360 GO:0046361 GO:0046394 GO:0046459 GO:0050896 GO:0051790 GO:0071704 GO:0072330 GO:1901564 GO:1901565 GO:1901566 GO:1901575 GO:1901576 GO:1901605 GO:1901607	GO:0003824 GO:0016787 GO:0016810 GO:0019239 GO:0120241 GO:0120242 GO:0120243	GO:0005622 GO:0005737 GO:0005829 GO:0110165
ANY33968.1	BSU00490	GO:0000003 GO:0000910 GO:0000917 GO:0007049 GO:0009653 GO:0009987 GO:0016043 GO:0019954 GO:0022402 GO:0022607 GO:0030154 GO:0030435 GO:0030436 GO:0032502 GO:0032506 GO:0043934 GO:0044085 GO:0048646 GO:0048856 GO:0048869 GO:0051301 GO:0071840 GO:0090529		
ANY33969.1	BSU13380			GO:0005886 GO:0016020 GO:0016021 GO:0031224 GO:0071944 GO:0110165
ANY33970.1	BSU00500	GO:0000270 GO:0000902 GO:0005975 GO:0006022 GO:0006023 GO:0006024 GO:0006040 GO:0006047 GO:0006048 GO:0006139 GO:0006629 GO:0006643 GO:0006644 GO:0006664 GO:0006725 GO:0006793 GO:0006796 GO:0006807 GO:0008152 GO:0008360 GO:0008610 GO:0008654 GO:0009058 GO:0009059 GO:0009225 GO:0009226 GO:0009245 GO:0009247 GO:0009252 GO:0009273 GO:0009311 GO:0009312 GO:0009653 GO:0009987 GO:0016043 GO:0016051 GO:0018130 GO:0019438 GO:0019637 GO:0022603 GO:0022604 GO:0030203 GO:0032502 GO:0034641 GO:0034645 GO:0034654 GO:0042546 GO:0043170 GO:0044036 GO:0044038 GO:0044085 GO:0044237 GO:0044238 GO:0044249 GO:0044255 GO:0044260 GO:0044271 GO:0044281 GO:0045229 GO:0046349 GO:0046467 GO:0046483 GO:0046493 GO:0048856 GO:0050789 GO:0050793 GO:0055086 GO:0065007 GO:0070589 GO:0071554 GO:0071555 GO:0071704 GO:0071840 GO:0090407 GO:1901135 GO:1901137 GO:1901269 GO:1901271 GO:1901360 GO:1901362 GO:1901564 GO:1901566 GO:1901576 GO:1903509	GO:0000287 GO:0003824 GO:0003977 GO:0005488 GO:0008080 GO:0016407 GO:0016410 GO:0016740 GO:0016746 GO:0016747 GO:0016772 GO:0016779 GO:0019134 GO:0043167 GO:0043169 GO:0046872 GO:0070569	GO:0005622 GO:0005737 GO:0110165
